       MathHomework  MathAchievement

             2               54       
             0               53       
             4               53       
             0               56       
             2               59       
             0               30       
             1               49       
             0               54       
             3               37       
             0               49       
             4               55       
             7               50       
             3               45       
             1               44       
             1               60       
             0               36       
             3               53       
             0               22       
             1               56       
             3               54       
             3               75       
             0               37       
             2               42       
             0               64       
             1               61       
             4               57       
             1               53       
             4               63       
             3               75       
             1               53       
             1               54       
             3               64       
             3               54       
             5               59       
             2               48       
             5               65       
             1               57       
             3               48       
             2               54       
             2               62       
             0               53       
             2               61       
             5               56       
             0               32       
             2               50       
             2               44       
             1               62       
             2               39       
             1               61       
             4               51           
             0               36           
             0               38       
             4               38       
            10               59       
             1               46       
             1               55       
             2               48       
             2               54       
             1               41       
             2               61       
             2               52       
             1               63       
             2               25       
             2               64       
             3               72       
             2               65       
             0               41       
             0               29       
             3               39       
             2               70       
             5               68       
             5               38       
             1               59       
             0               29       
             0               49       
             2               39       
             2               45       
             3               74       
             0               41       
             2               53       
             4               71       
             0               41       
             3               63       
             1               34       
             2               61       
             3               51       
             4               62       
             4               55       
             4               64       
             2               47       
             1               48       
             6               47       
             3               44       
             5               52       
             6               50       
             4               48       
             3               58       
             2               39       
             2               41       
             1               51       
