z1,z2,z3,x2,x1
0.813,0.281,-0.514,-0.908,1
1.185,1.335,0.327,0.012,1
0.862,1.705,0.445,-1.241,1
-0.639,-0.019,0.379,-0.769,1
1.404,1.261,-0.057,-0.775,1
2.52,3.758,1.039,1.427,1
2.579,1.783,0.42,0.91,1
1.571,0.947,0.519,0.75,1
1.078,1.166,-0.13,-0.504,1
1.222,0.871,0.905,0.957,1
1.307,-0.192,0.425,-0.019,1
-0.364,0.058,-0.132,0.513,1
1.016,0.718,1.105,0.658,1
0.953,0.807,1.047,0.385,1
-0.52,1.058,0.719,-0.482,1
0.304,-0.413,1.743,1.444,1
1.46,1.586,1.248,1.888,1
-0.478,-1.984,0.081,-1.168,1
1.85,1.645,0.157,0.019,1
1.716,0.735,1.835,0.438,1
0.465,0.82,0.144,-0.398,1
1.303,0.389,-0.27,-1.773,1
1.503,0.542,-0.587,-2.43,1
0.61,0.297,3.519,0.87,1
0.86,0.789,1.116,0.161,1
1.164,1.304,1.411,-0.029,1
-0.429,-1.487,2.785,-0.682,1
0.68,0.578,0.721,0.676,1
0.237,0.339,-1.282,-1.666,1
0.298,0.144,0.434,0.475,1
-0.744,-0.325,0.771,0.788,1
-0.35,0.23,-0.165,0.814,1
1.228,1.574,1.845,1.406,1
1.172,1.805,-0.263,-0.009,1
-0.012,0.594,-0.902,-0.193,1
0.365,0.392,0.318,-0.66,1
1.469,1.788,-0.305,0.298,1
-0.668,-0.985,-0.056,-0.178,1
2.39,3.192,1.351,-0.381,1
0.14,0.505,1.315,-0.959,1
0.244,0.689,0.372,-0.372,1
-0.636,-0.13,-0.555,-1.246,1
1.377,1.672,2.1,2.211,1
1.962,1.262,0.867,1.087,1
0.765,0.459,-0.533,-1.395,1
0.947,1.463,0.38,0.84,1
0.533,0.151,0.258,0.999,1
1.477,1.226,0,0.782,1
0.333,1.497,2.22,0.691,1
0.303,0.34,0.754,-0.352,1
0.472,0.836,-0.121,-0.607,1
1.25,0.641,-0.066,-1.675,1
1.763,1.381,-0.27,0.563,1
1.349,1.184,1.031,-0.612,1
0.625,0.027,2.356,0.478,1
1.121,1.519,0.412,0.099,1
0.891,1.57,0.341,-0.29,1
1.494,0.518,1.136,0.246,1
0.593,-0.329,-0.363,0.008,1
1.027,0.639,0.463,0.517,1
1.371,0.72,0.809,-0.509,1
1.237,1.179,0.085,0.791,1
1.45,2.076,0.145,-0.5,1
0.952,0.741,0.193,-1.322,1
0.6,-0.486,-0.078,-0.109,1
1.683,1.607,1.664,0.09,1
-0.785,-0.231,-0.799,-0.41,1
-0.1,0.254,-0.056,0.851,1
0.63,0.608,0.575,2.006,1
-0.841,-1.023,-0.272,-0.709,1
1.517,1.526,1.436,1.718,1
1.007,0.857,1.033,0.589,1
0.019,0.144,-0.863,-2.515,1
0.452,0.626,1.03,-0.316,1
-1.027,-0.96,-1.332,-1.833,1
0.569,0.721,0.478,-0.021,1
1.741,1.404,0.328,0.864,1
-0.65,-0.371,-0.656,-0.357,1
1.63,1.149,-0.965,-0.829,1
