z1,z2,z3,x2,x1
0.813,0.281,-0.514,-0.908,1
1.185,1.335,0.327,0.012,1
0.862,1.705,0.445,-1.241,1
-0.639,-0.019,0.379,-0.769,1
1.404,1.261,-0.057,-0.775,1
NA,NA,1.039,1.427,1
NA,NA,0.42,0.91,1
NA,0.947,NA,0.75,1
NA,NA,-0.13,-0.504,1
NA,NA,NA,0.957,1
1.307,-0.192,NA,-0.019,1
-0.364,0.058,-0.132,0.513,1
NA,NA,NA,0.658,1
0.953,0.807,1.047,0.385,1
-0.52,1.058,NA,-0.482,1
NA,-0.413,NA,1.444,1
NA,1.586,NA,1.888,1
-0.478,-1.984,0.081,-1.168,1
1.85,1.645,0.157,0.019,1
NA,0.735,1.835,0.438,1
0.465,0.82,0.144,-0.398,1
1.303,NA,-0.27,-1.773,1
1.503,NA,-0.587,-2.43,1
NA,NA,NA,0.87,1
0.86,0.789,1.116,0.161,1
1.164,1.304,NA,-0.029,1
NA,-1.487,2.785,-0.682,1
0.68,NA,0.721,0.676,1
0.237,NA,-1.282,-1.666,1
0.298,0.144,NA,0.475,1
-0.744,-0.325,NA,0.788,1
NA,NA,NA,0.814,1
NA,NA,1.845,1.406,1
1.172,NA,-0.263,-0.009,1
-0.012,0.594,-0.902,-0.193,1
0.365,0.392,0.318,-0.66,1
1.469,NA,-0.305,0.298,1
-0.668,-0.985,-0.056,-0.178,1
NA,3.192,1.351,-0.381,1
0.14,0.505,1.315,-0.959,1
NA,0.689,0.372,-0.372,1
-0.636,-0.13,-0.555,-1.246,1
NA,NA,2.1,2.211,1
NA,NA,NA,1.087,1
0.765,0.459,-0.533,-1.395,1
NA,NA,NA,0.84,1
NA,NA,NA,0.999,1
NA,NA,NA,0.782,1
NA,1.497,NA,0.691,1
0.303,0.34,0.754,-0.352,1
0.472,0.836,-0.121,-0.607,1
1.25,0.641,-0.066,-1.675,1
1.763,NA,-0.27,0.563,1
NA,1.184,1.031,-0.612,1
0.625,0.027,NA,0.478,1
1.121,1.519,0.412,0.099,1
0.891,1.57,0.341,-0.29,1
1.494,NA,1.136,0.246,1
0.593,-0.329,-0.363,0.008,1
1.027,0.639,0.463,0.517,1
1.371,0.72,0.809,-0.509,1
NA,NA,NA,0.791,1
1.45,2.076,NA,-0.5,1
0.952,0.741,NA,-1.322,1
0.6,-0.486,-0.078,-0.109,1
NA,1.607,1.664,0.09,1
-0.785,-0.231,-0.799,-0.41,1
NA,0.254,NA,0.851,1
NA,NA,NA,2.006,1
-0.841,-1.023,-0.272,-0.709,1
1.517,NA,NA,1.718,1
1.007,0.857,1.033,0.589,1
0.019,0.144,-0.863,-2.515,1
0.452,0.626,NA,-0.316,1
-1.027,-0.96,-1.332,-1.833,1
0.569,0.721,0.478,-0.021,1
NA,1.404,NA,0.864,1
-0.65,-0.371,-0.656,-0.357,1
1.63,1.149,-0.965,-0.829,1
NA,2.598,0.763,0.091,1
0.419,0.728,0.603,-0.097,1
0.725,1.143,0.294,0.067,1
NA,0.871,1.56,0.001,1
NA,NA,NA,1.531,1
