z1,z2,z3,x2,x1
0.813,NA,NA,-0.908,1
1.185,1.335,NA,0.012,1
NA,NA,NA,-1.241,1
-0.639,-0.019,NA,-0.769,1
1.404,1.261,-0.057,-0.775,1
2.52,NA,1.039,1.427,1
2.579,NA,0.42,0.91,1
NA,NA,0.519,0.75,1
NA,1.166,-0.13,-0.504,1
1.222,0.871,NA,0.957,1
1.307,-0.192,NA,-0.019,1
-0.364,0.058,NA,0.513,1
NA,NA,NA,0.658,1
0.953,0.807,1.047,0.385,1
-0.52,1.058,0.719,-0.482,1
NA,-0.413,1.743,1.444,1
NA,1.586,1.248,1.888,1
NA,-1.984,0.081,-1.168,1
1.85,1.645,0.157,0.019,1
1.716,NA,1.835,0.438,1
0.465,0.82,0.144,-0.398,1
1.303,0.389,-0.27,-1.773,1
1.503,0.542,-0.587,-2.43,1
0.61,0.297,3.519,0.87,1
0.86,0.789,1.116,0.161,1
NA,1.304,NA,-0.029,1
-0.429,-1.487,2.785,-0.682,1
0.68,0.578,0.721,0.676,1
NA,NA,NA,-1.666,1
0.298,NA,0.434,0.475,1
-0.744,-0.325,0.771,0.788,1
-0.35,0.23,-0.165,0.814,1
NA,1.574,NA,1.406,1
NA,1.805,-0.263,-0.009,1
-0.012,0.594,-0.902,-0.193,1
0.365,0.392,0.318,-0.66,1
1.469,1.788,NA,0.298,1
NA,-0.985,NA,-0.178,1
2.39,NA,NA,-0.381,1
NA,0.505,NA,-0.959,1
0.244,0.689,0.372,-0.372,1
-0.636,-0.13,NA,-1.246,1
1.377,NA,NA,2.211,1
1.962,1.262,0.867,1.087,1
0.765,0.459,-0.533,-1.395,1
0.947,NA,NA,0.84,1
0.533,0.151,0.258,0.999,1
1.477,NA,0,0.782,1
NA,NA,2.22,0.691,1
0.303,0.34,0.754,-0.352,1
0.472,0.836,-0.121,-0.607,1
1.25,0.641,-0.066,-1.675,1
1.763,1.381,-0.27,0.563,1
1.349,1.184,NA,-0.612,1
NA,0.027,2.356,0.478,1
NA,1.519,0.412,0.099,1
0.891,1.57,NA,-0.29,1
1.494,0.518,NA,0.246,1
0.593,-0.329,-0.363,0.008,1
1.027,0.639,0.463,0.517,1
1.371,NA,0.809,-0.509,1
NA,1.179,0.085,0.791,1
NA,2.076,0.145,-0.5,1
0.952,0.741,NA,-1.322,1
0.6,NA,-0.078,-0.109,1
1.683,1.607,NA,0.09,1
-0.785,-0.231,-0.799,-0.41,1
NA,0.254,-0.056,0.851,1
NA,NA,0.575,2.006,1
-0.841,NA,-0.272,-0.709,1
1.517,1.526,1.436,1.718,1
1.007,NA,1.033,0.589,1
0.019,0.144,NA,-2.515,1
0.452,NA,NA,-0.316,1
NA,-0.96,-1.332,-1.833,1
NA,0.721,0.478,-0.021,1
NA,1.404,0.328,0.864,1
-0.65,NA,-0.656,-0.357,1
1.63,NA,-0.965,-0.829,1
NA,NA,0.763,0.091,1
0.419,NA,0.603,-0.097,1
0.725,1.143,0.294,0.067,1
0.186,NA,1.56,0.001,1
2.476,1.77,1.665,1.531,1
1.164,1.264,NA,0.35,1
-1.539,NA,NA,-1.404,1
-0.03,NA,0.98,-0.033,1
0.148,0.578,-0.601,-0.32,1
1.521,NA,NA,0.076,1
0.497,0.312,NA,0.007,1
NA,-0.539,1.584,-0.005,1
1.268,NA,-1.058,-0.582,1
NA,NA,1.235,0.313,1
-1.039,-1.124,-0.728,-0.218,1
-0.457,0.688,0.375,0.709,1
NA,0.833,NA,1.4,1
-0.544,0.224,NA,-1.384,1
0.947,NA,NA,-0.869,1
NA,-2.063,-0.409,-1.225,1
0.136,NA,NA,-0.476,1
NA,NA,-1.001,-0.638,1
0.974,1.326,-0.27,0.597,1
0.338,0.093,-0.216,-0.431,1
NA,NA,-0.11,0.594,1
-0.105,1.182,-0.281,-0.591,1
NA,0.616,0.453,0.384,1
0.914,1.29,0.029,1.03,1
0.276,0.193,-0.953,-1.102,1
NA,NA,0.474,0.959,1
0.859,NA,-0.046,-0.884,1
1.706,2.457,1.261,0.221,1
1.903,1.566,NA,-0.077,1
NA,-2.016,NA,-1.34,1
NA,-0.039,1.139,0.887,1
NA,-1.139,-0.52,-1.934,1
0.199,NA,NA,-0.908,1
1.259,0.943,NA,0.947,1
0.681,-0.103,0.565,0.012,1
NA,0.691,1.212,0.428,1
0.355,-1.258,-0.86,-1.448,1
NA,0.986,NA,0.684,1
NA,0.138,NA,0.27,1
NA,NA,-0.171,-0.104,1
1.217,1.789,0.599,-1.214,1
2.413,2.004,NA,1.557,1
NA,2.507,2.613,1.141,1
NA,0.847,-0.442,0.274,1
0.479,NA,NA,0.756,1
2.494,1.649,0.711,0.688,1
NA,-0.395,-0.213,-2.168,1
0.974,1.043,NA,-0.145,1
0.754,0.592,-1.139,-0.732,1
0.666,0.882,0.664,-0.474,1
-0.763,-1.139,-1.175,-2.889,1
-0.031,1.688,0.206,0.142,1
0.677,1.115,0.527,-0.004,1
1.942,1.779,1.879,1.933,1
NA,0.853,NA,1.277,1
-1.399,-0.33,NA,1.581,1
-0.278,0.281,-0.023,1.119,1
NA,2.622,1.751,1.264,1
1.384,1.419,NA,0.078,1
NA,0.535,-0.098,0.241,1
1.143,0.784,1.369,0.628,1
NA,3.552,3.926,3.094,1
0.966,1.549,NA,0.607,1
1.528,1.286,NA,0.263,1
1.893,2.226,1.352,1.376,1
0.671,0.84,1.721,-0.159,1
0.174,NA,NA,0.252,1
NA,0.865,-0.132,0.682,0
1.25,0.864,NA,0.369,0
NA,-0.025,NA,-0.425,0
0.456,0.533,NA,0.647,0
0.06,0.314,NA,0.312,0
-1.709,-1.134,NA,0.502,0
-0.72,-0.93,0.419,0.2,0
-2.35,NA,-0.818,0.566,0
0.699,1.299,0.258,0.876,0
0.007,NA,NA,0.432,0
NA,1.942,0.641,0.789,0
NA,NA,-0.227,-0.241,0
NA,-1.622,-1.733,-0.359,0
-0.992,NA,0.493,-0.536,0
0.935,0.486,0.701,1.475,0
1.527,2.019,NA,-0.134,0
-1.17,NA,NA,-2.243,0
NA,0.093,-0.592,0.625,0
1.555,1.296,0.877,1.037,0
0.313,0.051,-0.075,-1.132,0
NA,0.111,0.325,-0.598,0
-1.359,-0.446,-0.492,-1.084,0
-1.61,-0.364,-1.388,-0.841,0
-1.706,-1.363,NA,-1.292,0
0.261,NA,NA,-0.391,0
-0.092,NA,NA,-0.678,0
-0.29,-0.489,0.246,-0.054,0
0.446,0.543,0.533,-0.066,0
-1.396,-0.726,-0.266,0.3,0
-1.195,-0.941,0.817,-0.48,0
0.979,1.047,2.142,0.325,0
NA,1.128,2.619,1.858,0
-1.093,-0.584,0.128,-0.454,0
0.046,0.833,-0.193,-0.267,0
NA,0.484,1.547,1.052,0
NA,NA,0.765,0.318,0
0.526,0.323,NA,-0.087,0
1.478,NA,-1.292,-0.677,0
0.419,0.832,-0.416,1.215,0
0.454,NA,0.865,0.151,0
0.248,-0.011,0.238,0.874,0
NA,NA,-0.699,-1.244,0
NA,NA,NA,1.517,0
0.226,-0.039,NA,0.43,0
1.9,NA,1.091,1.507,0
-1.086,NA,NA,-1.258,0
-0.041,-0.131,0.66,1.324,0
-0.652,NA,NA,-0.209,0
NA,-0.51,-0.041,0.035,0
1.381,0.718,1.368,1.487,0
-1.032,-0.916,NA,-1.635,0
NA,NA,NA,-0.797,0
NA,-0.852,-0.151,1.586,0
NA,NA,0.743,-0.495,0
NA,-0.306,NA,-1.48,0
0.444,NA,1.404,1.093,0
NA,-1.052,NA,-0.529,0
NA,-0.693,-0.094,-0.684,0
-0.785,-0.35,0.392,0.696,0
-0.914,-0.057,-0.372,0.041,0
0.747,-0.34,0.481,0.883,0
-0.471,NA,NA,-1.283,0
NA,0.384,-1.544,-0.542,0
NA,NA,-0.128,1.545,0
-1.3,-0.692,-0.891,-2.412,0
-0.634,NA,-0.469,0.011,0
-1.15,-0.523,-1.852,-3.228,0
-0.569,NA,NA,-0.491,0
-1.37,-1.239,-1.345,-0.631,0
NA,NA,-0.29,0.143,0
0.191,NA,0.459,-0.802,0
0.61,0.615,NA,-0.154,0
-1.249,-1.08,-0.791,0.638,0
-0.653,-0.82,NA,-0.334,0
0.354,0.349,1.21,2.939,0
2.446,NA,NA,0.612,0
0.019,0.814,-0.181,-0.255,0
-0.183,NA,0.386,-0.227,0
-0.851,NA,NA,-1.874,0
1.757,1.982,0.603,0.025,0
0.799,0.788,0.068,0.355,0
-0.847,NA,-0.437,-0.54,0
0.45,NA,-0.158,0.324,0
0.199,0.618,1.253,0.397,0
-0.79,NA,-0.009,-0.528,0
0.533,0.812,NA,0.602,0
NA,-0.195,-0.609,0.985,0
NA,-1.524,NA,-0.874,0
NA,0.739,0.83,0.31,0
0.248,0.417,0.349,0.329,0
NA,-0.698,-1.279,0.082,0
-0.697,0.13,NA,-0.921,0
2.291,1.349,NA,0.687,0
0.451,0.144,NA,1.8,0
-2.677,-1.45,NA,-0.083,0
NA,0.905,0.436,-0.11,0
NA,0.575,-0.382,-0.156,0
0.338,0.725,NA,0.742,0
0.873,0.816,0.244,-0.804,0
-1.406,NA,-0.92,-0.626,0
NA,NA,-0.104,1.028,0
1.612,0.923,-0.783,0.284,0
-0.948,NA,-0.465,0.275,0
NA,NA,NA,-0.14,0
-0.148,0.136,-1.055,0.401,0
0.184,NA,NA,0.533,0
NA,0.589,0.439,-0.496,0
0.768,0.986,0.528,-0.918,0
-0.322,0.126,NA,0.858,0
NA,0.075,NA,0.184,0
0.195,-0.223,-0.078,-0.122,0
0.301,0.464,-0.145,0.255,0
-1.761,-1.599,NA,-0.524,0
1.463,1.664,NA,0.134,0
-0.621,-0.53,-1.087,-0.045,0
-0.871,0.11,1.173,1.799,0
NA,1.877,1.133,1.852,0
-1.227,-0.875,0.17,-0.662,0
NA,-0.623,-0.324,-0.953,0
-1.265,NA,NA,-0.333,0
-0.102,NA,-0.06,-0.559,0
NA,2.443,-0.452,0.385,0
-0.976,NA,NA,-2.103,0
-0.547,-0.376,NA,-0.513,0
0.845,0.068,-0.248,0.187,0
0.024,-0.916,-0.366,0.398,0
NA,0.382,NA,2.076,0
-0.063,-0.271,1.066,1.04,0
2.321,1.539,NA,1.096,0
-1.545,-1.598,NA,-1.01,0
1.154,0.558,NA,0.744,0
NA,NA,0.527,-0.372,0
-1.719,-1.602,NA,-0.598,0
0.556,NA,NA,-0.207,0
0.76,NA,NA,1.251,0
0.701,0.433,NA,0.365,0
2.469,0.149,1.398,2.066,0
-1.471,-2.031,NA,-0.49,0
0.989,1.23,NA,0.083,0
1.067,1.281,1.659,0.054,0
-0.293,-0.572,-0.988,-0.973,0
0.282,0.268,0.584,1.087,0
1.548,1.485,NA,0.378,0
NA,0.361,NA,-1.644,0
-0.904,-0.582,-0.6,-1.372,0
-1.732,NA,-0.844,-2.173,0
-0.584,NA,-1.314,-0.539,0
-0.576,0.224,-0.543,-0.404,0
-0.179,-0.67,NA,-0.654,0
1.284,NA,NA,0.972,0
