z1,z2,z3,x2,x1
0.813,0.281,-0.514,-0.908,1
NA,NA,0.327,0.012,1
NA,NA,0.445,-1.241,1
-0.639,-0.019,0.379,-0.769,1
NA,NA,-0.057,-0.775,1
NA,NA,NA,1.427,1
NA,NA,0.42,0.91,1
NA,NA,0.519,0.75,1
NA,NA,-0.13,-0.504,1
NA,NA,NA,0.957,1
NA,-0.192,0.425,-0.019,1
-0.364,0.058,-0.132,0.513,1
NA,0.718,NA,0.658,1
NA,0.807,NA,0.385,1
-0.52,NA,0.719,-0.482,1
0.304,-0.413,NA,1.444,1
NA,NA,NA,1.888,1
-0.478,-1.984,0.081,-1.168,1
1.85,NA,0.157,0.019,1
NA,0.735,NA,0.438,1
0.465,0.82,0.144,-0.398,1
NA,NA,-0.27,-1.773,1
NA,NA,-0.587,-2.43,1
0.61,0.297,NA,0.87,1
0.86,0.789,NA,0.161,1
NA,NA,NA,-0.029,1
-0.429,-1.487,NA,-0.682,1
0.68,0.578,0.721,0.676,1
0.237,0.339,-1.282,-1.666,1
NA,0.144,0.434,0.475,1
-0.744,-0.325,0.771,0.788,1
-0.35,0.23,-0.165,0.814,1
NA,NA,NA,1.406,1
NA,NA,-0.263,-0.009,1
-0.012,0.594,-0.902,-0.193,1
0.365,0.392,0.318,-0.66,1
NA,NA,NA,0.298,1
-0.668,-0.985,-0.056,-0.178,1
NA,3.192,NA,-0.381,1
0.14,0.505,NA,-0.959,1
0.244,0.689,0.372,-0.372,1
-0.636,-0.13,-0.555,-1.246,1
NA,NA,NA,2.211,1
NA,NA,NA,1.087,1
0.765,0.459,-0.533,-1.395,1
0.947,NA,0.38,0.84,1
0.533,0.151,0.258,0.999,1
NA,NA,0,0.782,1
0.333,NA,NA,0.691,1
0.303,0.34,0.754,-0.352,1
0.472,0.836,-0.121,-0.607,1
NA,NA,-0.066,-1.675,1
NA,NA,-0.27,0.563,1
NA,NA,NA,-0.612,1
0.625,0.027,NA,0.478,1
NA,NA,0.412,0.099,1
NA,NA,0.341,-0.29,1
NA,0.518,NA,0.246,1
0.593,-0.329,-0.363,0.008,1
NA,0.639,0.463,0.517,1
NA,0.72,NA,-0.509,1
NA,NA,0.085,0.791,1
NA,NA,0.145,-0.5,1
NA,0.741,0.193,-1.322,1
0.6,-0.486,NA,-0.109,1
NA,1.607,NA,0.09,1
-0.785,-0.231,-0.799,-0.41,1
-0.1,0.254,-0.056,0.851,1
0.63,0.608,0.575,2.006,1
-0.841,-1.023,-0.272,-0.709,1
NA,NA,NA,1.718,1
NA,NA,NA,0.589,1
NA,0.144,-0.863,-2.515,1
0.452,0.626,NA,-0.316,1
-1.027,-0.96,-1.332,-1.833,1
0.569,0.721,0.478,-0.021,1
1.741,NA,0.328,0.864,1
-0.65,-0.371,-0.656,-0.357,1
NA,NA,-0.965,-0.829,1
NA,NA,0.763,0.091,1
0.419,0.728,0.603,-0.097,1
0.725,1.143,0.294,0.067,1
0.186,NA,NA,0.001,1
NA,NA,NA,1.531,1
1.164,NA,NA,0.35,1
-1.539,-0.488,-0.981,-1.404,1
-0.03,NA,NA,-0.033,1
0.148,NA,-0.601,-0.32,1
NA,NA,NA,0.076,1
0.497,0.312,0.44,0.007,1
-0.425,-0.539,NA,-0.005,1
NA,NA,-1.058,-0.582,1
NA,NA,NA,0.313,1
-1.039,-1.124,-0.728,-0.218,1
-0.457,0.688,0.375,0.709,1
NA,0.833,NA,1.4,1
-0.544,0.224,-0.662,-1.384,1
NA,NA,0.731,-0.869,1
-0.826,-2.063,-0.409,-1.225,1
0.136,0.168,-0.717,-0.476,1
0.172,NA,-1.001,-0.638,1
NA,NA,-0.27,0.597,1
0.338,0.093,-0.216,-0.431,1
NA,NA,-0.11,0.594,1
-0.105,NA,-0.281,-0.591,1
NA,0.616,0.453,0.384,1
0.914,NA,0.029,1.03,1
0.276,0.193,-0.953,-1.102,1
-0.049,-0.162,0.474,0.959,1
0.859,0.427,-0.046,-0.884,1
NA,NA,NA,0.221,1
NA,1.566,NA,-0.077,1
-0.79,-2.016,0.291,-1.34,1
NA,-0.039,NA,0.887,1
-1.266,-1.139,-0.52,-1.934,1
NA,-0.333,-0.639,-0.908,1
NA,NA,NA,0.947,1
0.681,-0.103,0.565,0.012,1
NA,NA,NA,0.428,1
0.355,-1.258,-0.86,-1.448,1
NA,NA,NA,0.684,1
0.678,0.138,-0.562,0.27,1
NA,NA,-0.171,-0.104,1
NA,NA,NA,-1.214,1
NA,NA,NA,1.557,1
NA,NA,NA,1.141,1
0.758,0.847,-0.442,0.274,1
0.479,0.563,0.287,0.756,1
NA,NA,0.711,0.688,1
-0.938,-0.395,-0.213,-2.168,1
NA,1.043,0.602,-0.145,1
0.754,0.592,-1.139,-0.732,1
0.666,0.882,0.664,-0.474,1
-0.763,-1.139,-1.175,-2.889,1
NA,NA,0.206,0.142,1
NA,NA,0.527,-0.004,1
NA,NA,NA,1.933,1
NA,0.853,0.372,1.277,1
-1.399,-0.33,NA,1.581,1
-0.278,0.281,-0.023,1.119,1
2.971,NA,NA,1.264,1
NA,NA,0.333,0.078,1
0.315,0.535,-0.098,0.241,1
1.143,0.784,NA,0.628,1
NA,NA,NA,3.094,1
NA,1.549,0.409,0.607,1
1.528,NA,0.514,0.263,1
NA,NA,NA,1.376,1
0.671,0.84,NA,-0.159,1
0.174,0.483,NA,0.252,1
NA,NA,-0.132,0.682,0
NA,NA,-0.491,0.369,0
-0.669,-0.025,-0.104,-0.425,0
0.456,0.533,0.17,0.647,0
0.06,0.314,-0.924,0.312,0
-1.709,-1.134,0.214,0.502,0
-0.72,-0.93,0.419,0.2,0
-2.35,NA,-0.818,0.566,0
0.699,NA,0.258,0.876,0
0.007,0.699,0.424,0.432,0
NA,NA,0.641,0.789,0
-0.159,-0.3,-0.227,-0.241,0
-1.4,-1.622,-1.733,-0.359,0
-0.992,-1.631,0.493,-0.536,0
NA,0.486,0.701,1.475,0
NA,NA,0.371,-0.134,0
-1.17,-1.597,-2.601,-2.243,0
-0.562,0.093,-0.592,0.625,0
NA,NA,NA,1.037,0
0.313,0.051,-0.075,-1.132,0
-0.205,0.111,0.325,-0.598,0
-1.359,-0.446,-0.492,-1.084,0
-1.61,-0.364,-1.388,-0.841,0
-1.706,-1.363,-1.351,-1.292,0
0.261,0.32,0.39,-0.391,0
-0.092,-0.567,NA,-0.678,0
-0.29,-0.489,0.246,-0.054,0
0.446,0.543,0.533,-0.066,0
-1.396,-0.726,-0.266,0.3,0
-1.195,-0.941,0.817,-0.48,0
NA,NA,NA,0.325,0
NA,NA,2.619,1.858,0
-1.093,-0.584,0.128,-0.454,0
NA,0.833,-0.193,-0.267,0
0.445,0.484,NA,1.052,0
NA,0.503,0.765,0.318,0
0.526,0.323,-0.339,-0.087,0
NA,NA,-1.292,-0.677,0
0.419,0.832,NA,1.215,0
0.454,-0.292,NA,0.151,0
0.248,NA,0.238,0.874,0
-1.089,-1.572,NA,-1.244,0
NA,NA,NA,1.517,0
0.226,-0.039,-0.355,0.43,0
1.9,NA,NA,1.507,0
-1.086,-0.999,NA,-1.258,0
-0.041,-0.131,0.66,1.324,0
-0.652,-1.241,0.281,-0.209,0
-0.787,-0.51,-0.041,0.035,0
NA,0.718,NA,1.487,0
-1.032,-0.916,-0.531,-1.635,0
-0.422,-0.062,0.616,-0.797,0
0.704,-0.852,-0.151,1.586,0
NA,0.476,0.743,-0.495,0
-0.194,-0.306,-1.483,-1.48,0
0.444,0.202,NA,1.093,0
-0.736,-1.052,-0.834,-0.529,0
