id,x1,x2,x3,x4,sex
1,2.28,2.28,2.81,4.49,0
2,0.12,2.26,2.94,5.42,0
3,0.46,1.47,1.63,2.95,1
4,0.52,2.03,2.76,3.69,1
5,0.01,1.72,3.08,3.56,1
6,0.11,1.98,3.71,6.94,0
7,1.1,2.19,2.21,5,1
8,0.77,2.03,2.91,4.33,1
9,1.06,1.64,1.94,1.97,1
10,2.85,2.57,3.13,4.85,0
11,1.28,2.54,2.59,3.18,1
12,2.36,3.58,6.28,8.15,0
13,2.15,3.84,4.26,6.34,0
14,1.04,2.57,3.15,3,1
15,1.7,3.52,5.24,5.85,0
16,1.14,1.53,2.55,2.45,1
17,0.45,2.12,1.71,4.41,1
18,0.75,2.28,3.83,4.2,0
19,0.44,2.79,5.35,5.77,0
20,1.68,3.12,4.21,5.51,0
21,1.93,3.22,4.08,5.4,0
22,1.15,1.75,1.83,1.36,1
23,1.85,2.82,3.97,5.09,0
24,0.38,0.85,2.86,3.14,1
25,1.9,2.56,3.28,3.75,0
26,0.91,1.91,3,5.67,0
27,1.72,2.75,3.7,5.24,1
28,0.82,2.88,4.2,5.09,0
29,0.37,2,3.38,5,1
30,0.82,2.44,2.18,5.22,1
31,0.73,1.84,2.45,4.38,1
32,1.54,2.91,4.38,5.07,0
33,1.03,2.97,4.83,6.07,0
34,0.6,2.69,3.54,4.84,0
35,0.89,2.51,3.81,5.73,1
