V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
89 50 27 56 34 21 11 8 3 23
94 45 38 54 81 34 11 6 4 98
69 102 7 103 42 32 11 11 0 99
122 96 41 78 61 66 11 11 9 145
88 91 92 90 96 82 11 12 11 286
182 16 1 96 37 20 14 7 -1 154
167 47 30 70 77 36 14 7 7 201
169 110 3 118 45 29 14 11 1 60
185 87 40 137 77 48 14 10 8 231
158 89 104 118 116 94 14 11 11 401
137 158 2 149 47 39 14 14 -1 180
160 144 41 134 77 85 14 14 8 293
164 140 93 143 117 117 15 15 11 492
265 36 16 100 43 17 16 7 0 157
253 41 37 99 101 26 15 6 7 186
229 107 38 143 122 56 17 11 7 351
252 74 92 150 138 104 17 11 12 486
256 158 4 194 48 43 16 14 0 210
249 160 33 226 87 73 17 14 7 432
253 165 85 196 151 132 16 13 11 604
97 29 18 52 27 28 11 7 0 48
91 39 45 57 65 33 11 7 7 124
81 80 10 101 28 16 10 12 -1 77
83 75 39 83 62 63 12 10 9 148
88 108 95 91 96 97 12 12 11 315
159 29 7 88 41 16 13 7 1 50
166 57 42 86 94 45 14 6 7 223
157 90 6 117 47 28 14 10 0 95
122 85 35 112 74 63 14 12 7 265
171 80 101 114 130 93 14 11 12 393
174 163 18 173 39 54 15 14 -1 200
158 148 49 158 80 88 14 14 7 383
165 142 86 146 101 114 14 14 12 445
246 46 13 113 52 4 15 7 -1 107
263 38 58 87 110 37 16 6 9 207
215 85 41 149 101 65 16 10 6 311
231 87 83 144 144 82 17 12 13 483
235 176 21 185 48 35 16 14 -2 168
252 159 43 199 90 78 16 14 7 418
248 157 83 199 139 124 16 14 13 554
